TIME	r_foot_x	r_foot_y	r_foot_z
1.27	0.0	0.12714404498650742	0.04631600410885232
1.28	0.0	0.13090169943749475	0.04522542485937369
1.29	0.0	0.13461170570774927	0.04401014914000079
1.3	0.0	0.13826834323650897	0.042677669529663696
1.31	0.0	0.1418659737537428	0.04123620120825461
1.32	0.0	0.14539904997395467	0.03969463130731184
1.33	0.0	0.14886212414969546	0.03806246411789874
1.34	0.0	0.1522498564715949	0.036349762493488674
1.35	0.0	0.1555570233019602	0.034567085809127256
1.36	0.0	0.1587785252292473	0.032725424859373686
1.37	0.0	0.16190939493098344	0.030836134096397627
1.38	0.0	0.16494480483301832	0.02891086162600582
1.3900000000000001	0.0	0.1678800745532942	0.026961477393196116
1.4	0.0	0.1707106781186547	0.02500000000000005
1.4100000000000001	0.0	0.1734322509435686	0.02303852260680387
1.42	0.0	0.17604059656000307	0.021089138373994256
1.4300000000000002	0.0	0.1785316930880745	0.019163865903602362
1.44	0.0	0.1809016994374947	0.01727457514062634
1.4500000000000002	0.0	0.18314696123025453	0.015432914190872749
1.46	0.0	0.1852640164354092	0.013650237506511355
1.4700000000000002	0.0	0.18724960070727972	0.011937535882101275
1.48	0.0	0.18910065241883678	0.010305368692688194
1.4900000000000002	0.0	0.19081431738250818	0.008763798791745386
1.5	0.0	0.19238795325112867	0.007322330470336331
1.51	0.0	0.19381913359224842	0.005989850859999238
1.52	0.0	0.19510565162951535	0.0047745751406263305
1.53	0.0	0.19624552364536474	0.003683995891147704
1.54	0.0	0.19723699203976766	0.0027248368952908055
1.55	0.0	0.19807852804032305	0.0019030116872178371
1.56	0.0	0.1987688340595138	0.0012235870926211618
1.57	0.0	0.19930684569549265	0.0006907519900580833
1.58	0.0	0.1996917333733128	0.00030779148512155856
1.59	0.0	0.1999229036240723	7.70666566718009e-05
1.6	0.0	0.2	0
1.61	0.0	0.2	0
1.62	0.0	0.2	0
1.6300000000000001	0.0	0.2	0
1.6400000000000001	0.0	0.2	0
1.6500000000000001	0.0	0.2	0
1.6600000000000001	0.0	0.2	0
1.6700000000000002	0.0	0.2	0
1.6800000000000002	0.0	0.2	0
1.6900000000000002	0.0	0.2	0
1.7000000000000002	0.0	0.2	0
1.7100000000000002	0.0	0.2	0
1.7200000000000002	0.0	0.2	0
1.73	0.0	0.2	0
1.7400000000000002	0.0	0.2	0
1.75	0.0	0.2	0
1.76	0.0	0.2	0
1.77	0.0	0.2	0
1.78	0.0	0.2	0
1.79	0.0	0.2	0
1.8	0.0	0.2	0
1.81	0.0	0.2	0
1.82	0.0	0.2	0
1.83	0.0	0.2	0
1.84	0.0	0.2	0
1.85	0.0	0.2	0
1.86	0.0	0.2	0
1.87	0.0	0.2	0
1.8800000000000001	0.0	0.2	0
1.8900000000000001	0.0	0.2	0
1.9000000000000001	0.0	0.2	0
1.9100000000000001	0.0	0.2	0
1.9200000000000002	0.0	0.2	0
1.9300000000000002	0.0	0.2	0
1.9400000000000002	0.0	0.2	0
1.9500000000000002	0.0	0.2	0
1.96	0.0	0.2	0
1.9700000000000002	0.0	0.2	0
1.98	0.0	0.2	0
1.9900000000000002	0.0	0.2	0
2.0	0.0	0.2	0
2.0100000000000002	0.0	0.2	0
2.02	0.0	0.2	0
2.0300000000000002	0.0	0.2	0
2.04	0.0	0.2	0
2.0500000000000003	0.0	0.2	0
2.06	0.0	0.2	0
2.0700000000000003	0.0	0.2	0
2.08	0.0	0.2	0
2.09	0.0	0.2	0
2.1	0.0	0.2	0
2.1100000000000003	0.0	0.2	0
2.12	0.0	0.2	0
2.13	0.0	0.2	0
2.14	0.0	0.2	0
2.1500000000000004	0.0	0.2	0
2.16	0.0	0.2	0
2.17	0.0	0.2	0
2.18	0.0	0.2	0
2.19	0.0	0.2	0
2.2	0.0	0.2	0
2.21	0.0	0.2	0
2.22	0.0	0.2	0
2.23	0.0	0.2	0
2.24	0.0	0.2	0
2.25	0.0	0.2	0
2.2600000000000002	0.0	0.2	0
2.27	0.0	0.2	0
2.2800000000000002	0.0	0.2	0
2.29	0.0	0.2	0
2.3000000000000003	0.0	0.2	0
2.31	0.0	0.2	0
2.3200000000000003	0.0	0.2	0
2.33	0.0	0.2	0
2.34	0.0	0.2	0
2.35	0.0	0.2	0
2.3600000000000003	0.0	0.2	0
2.37	0.0	0.2	0
2.38	0.0	0.2	0
2.39	0.0	0.2	0
2.4000000000000004	0.0	0.2	0.0
2.41	0.0	0.20007709637592772	7.706665667179814e-05
2.4200000000000004	0.0	0.20030826662668721	0.00030779148512155856
2.43	0.0	0.20069315430450738	0.000690751990058075
2.4400000000000004	0.0	0.20123116594048623	0.0012235870926211618
2.45	0.0	0.20192147195967697	0.0019030116872178178
2.4600000000000004	0.0	0.20276300796023236	0.002724836895290808
2.47	0.0	0.20375447635463526	0.003683995891147679
2.4800000000000004	0.0	0.20489434837048465	0.004774575140626323
2.49	0.0	0.20618086640775157	0.005989850859999208
2.5000000000000004	0.0	0.20761204674887135	0.007322330470336322
2.5100000000000002	0.0	0.20918568261749187	0.00876379879174539
2.5200000000000005	0.0	0.21089934758116324	0.010305368692688189
2.5300000000000002	0.0	0.2127503992927203	0.01193753588210126
2.5400000000000005	0.0	0.2147359835645908	0.01365023750651135
2.5500000000000003	0.0	0.21685303876974546	0.015432914190872738
2.5600000000000005	0.0	0.21909830056250532	0.01727457514062634
2.5700000000000003	0.0	0.2214683069119255	0.019163865903602348
2.5800000000000005	0.0	0.22395940343999698	0.02108913837399426
2.5900000000000003	0.0	0.22656774905643146	0.023038522606803863
2.6000000000000005	0.0	0.22928932188134532	0.025000000000000036
2.6100000000000003	0.0	0.23211992544670584	0.026961477393196116
2.6200000000000006	0.0	0.2350551951669817	0.02891086162600581
2.6300000000000003	0.0	0.2380906050690166	0.030836134096397627
2.6400000000000006	0.0	0.2412214747707528	0.03272542485937373
2.6500000000000004	0.0	0.2444429766980398	0.03456708580912724
2.66	0.0	0.24775014352840505	0.03634976249348863
2.6700000000000004	0.0	0.25113787585030456	0.03806246411789872
2.6800000000000006	0.0	0.25460095002604544	0.039694631307311865
2.6900000000000004	0.0	0.25813402624625725	0.0412362012082546
2.7	0.0	0.26173165676349097	0.04267766952966367
2.7100000000000004	0.0	0.26538829429225075	0.04401014914000078
2.72	0.0	0.2690983005625052	0.04522542485937367
2.7300000000000004	0.0	0.27285595501349263	0.04631600410885231
2.74	0.0	0.2766554636144094	0.04727516310470919
2.7500000000000004	0.0	0.2804909677983872	0.048096988312782175
2.7600000000000002	0.0	0.2843565534959769	0.04877641290737883
2.7700000000000005	0.0	0.2882462602542163	0.04930924800994192
2.7800000000000002	0.0	0.2921540904272155	0.04969220851487844
2.7900000000000005	0.0	0.2960740184240932	0.0499229333433282
2.8000000000000003	0.0	0.3	0.05
2.8100000000000005	0.0	0.30392598157590694	0.0499229333433282
2.8200000000000003	0.0	0.3078459095727845	0.04969220851487845
2.8300000000000005	0.0	0.31175373974578385	0.04930924800994191
2.8400000000000003	0.0	0.3156434465040231	0.048776412907378844
2.8500000000000005	0.0	0.3195090322016129	0.04809698831278216
2.8600000000000003	0.0	0.3233445363855906	0.04727516310470921
2.8700000000000006	0.0	0.3271440449865075	0.046316004108852296
2.8800000000000003	0.0	0.3309016994374948	0.04522542485937369
2.8900000000000006	0.0	0.33461170570774945	0.04401014914000075
2.9000000000000004	0.0	0.338268343236509	0.042677669529663696
2.91	0.0	0.34186597375374284	0.04123620120825462
2.9200000000000004	0.0	0.34539904997395476	0.03969463130731184
2.9300000000000006	0.0	0.34886212414969564	0.03806246411789868
2.9400000000000004	0.0	0.3522498564715949	0.036349762493488674
2.95	0.0	0.35555702330196026	0.03456708580912728
2.9600000000000004	0.0	0.35877852522924736	0.032725424859373686
2.9700000000000006	0.0	0.3619093949309835	0.030836134096397586
2.9800000000000004	0.0	0.36494480483301844	0.028910861626005757
2.99	0.0	0.3678800745532942	0.02696147739319616
3.0000000000000004	0.0	0.3707106781186549	0.024999999999999984
3.0100000000000002	0.0	0.3734322509435686	0.023038522606803915
3.0200000000000005	0.0	0.3760405965600032	0.02108913837399421
3.0300000000000002	0.0	0.37853169308807455	0.019163865903602383
3.0400000000000005	0.0	0.38090169943749486	0.0172745751406263
3.0500000000000003	0.0	0.3831469612302546	0.015432914190872771
3.0600000000000005	0.0	0.3852640164354093	0.013650237506511315
3.0700000000000003	0.0	0.38724960070727976	0.011937535882101292
3.0800000000000005	0.0	0.38910065241883685	0.010305368692688159
3.0900000000000003	0.0	0.39081431738250816	0.008763798791745422
3.1000000000000005	0.0	0.39238795325112874	0.007322330470336283
3.1100000000000003	0.0	0.3938191335922485	0.005989850859999238
3.12	0.0	0.3951056516295154	0.004774575140626344
3.1300000000000003	0.0	0.3962455236453648	0.003683995891147704
3.1400000000000006	0.0	0.39723699203976776	0.002724836895290786
3.1500000000000004	0.0	0.3980785280403231	0.0019030116872178371
3.16	0.0	0.3987688340595138	0.0012235870926211756
3.1700000000000004	0.0	0.3993068456954927	0.0006907519900580833
3.1800000000000006	0.0	0.3996917333733129	0.0003077914851215502
3.1900000000000004	0.0	0.39992290362407235	7.70666566718009e-05
3.2	0.0	0.4000000000000001	0
3.21	0.0	0.4000000000000001	0
3.22	0.0	0.4000000000000001	0
3.23	0.0	0.4000000000000001	0
3.24	0.0	0.4000000000000001	0
3.25	0.0	0.4000000000000001	0
3.2600000000000002	0.0	0.4000000000000001	0
3.27	0.0	0.4000000000000001	0
3.2800000000000002	0.0	0.4000000000000001	0
3.29	0.0	0.4000000000000001	0
3.3000000000000003	0.0	0.4000000000000001	0
3.31	0.0	0.4000000000000001	0
3.3200000000000003	0.0	0.4000000000000001	0
3.33	0.0	0.4000000000000001	0
3.3400000000000003	0.0	0.4000000000000001	0
3.35	0.0	0.4000000000000001	0
3.3600000000000003	0.0	0.4000000000000001	0
3.37	0.0	0.4000000000000001	0
3.3800000000000003	0.0	0.4000000000000001	0
3.39	0.0	0.4000000000000001	0
3.4000000000000004	0.0	0.4000000000000001	0
3.41	0.0	0.4000000000000001	0
3.4200000000000004	0.0	0.4000000000000001	0
3.43	0.0	0.4000000000000001	0
3.4400000000000004	0.0	0.4000000000000001	0
3.45	0.0	0.4000000000000001	0
3.46	0.0	0.4000000000000001	0
3.47	0.0	0.4000000000000001	0
3.4800000000000004	0.0	0.4000000000000001	0
3.49	0.0	0.4000000000000001	0
3.5	0.0	0.4000000000000001	0
3.5100000000000002	0.0	0.4000000000000001	0
3.52	0.0	0.4000000000000001	0
3.5300000000000002	0.0	0.4000000000000001	0
3.54	0.0	0.4000000000000001	0
3.5500000000000003	0.0	0.4000000000000001	0
3.56	0.0	0.4000000000000001	0
3.5700000000000003	0.0	0.4000000000000001	0
3.58	0.0	0.4000000000000001	0
3.5900000000000003	0.0	0.4000000000000001	0
3.6	0.0	0.4000000000000001	0
3.6100000000000003	0.0	0.4000000000000001	0
3.62	0.0	0.4000000000000001	0
3.6300000000000003	0.0	0.4000000000000001	0
3.64	0.0	0.4000000000000001	0
3.6500000000000004	0.0	0.4000000000000001	0
3.66	0.0	0.4000000000000001	0
3.6700000000000004	0.0	0.4000000000000001	0
3.68	0.0	0.4000000000000001	0
3.6900000000000004	0.0	0.4000000000000001	0
3.7	0.0	0.4000000000000001	0
3.71	0.0	0.4000000000000001	0
3.72	0.0	0.4000000000000001	0
3.7300000000000004	0.0	0.4000000000000001	0
3.74	0.0	0.4000000000000001	0
3.75	0.0	0.4000000000000001	0
3.7600000000000002	0.0	0.4000000000000001	0
3.7700000000000005	0.0	0.4000000000000001	0
3.7800000000000002	0.0	0.4000000000000001	0
3.79	0.0	0.4000000000000001	0
3.8000000000000003	0.0	0.4000000000000001	0
3.81	0.0	0.4000000000000001	0
3.8200000000000003	0.0	0.4000000000000001	0
3.83	0.0	0.4000000000000001	0
3.8400000000000003	0.0	0.4000000000000001	0
3.85	0.0	0.4000000000000001	0
3.8600000000000003	0.0	0.4000000000000001	0
3.87	0.0	0.4000000000000001	0
3.8800000000000003	0.0	0.4000000000000001	0
3.89	0.0	0.4000000000000001	0
3.9000000000000004	0.0	0.4000000000000001	0
3.91	0.0	0.4000000000000001	0
3.92	0.0	0.4000000000000001	0
3.93	0.0	0.4000000000000001	0
3.9400000000000004	0.0	0.4000000000000001	0
3.95	0.0	0.4000000000000001	0
3.96	0.0	0.4000000000000001	0
3.97	0.0	0.4000000000000001	0
3.9800000000000004	0.0	0.4000000000000001	0
3.99	0.0	0.4000000000000001	0
4.0	0.0	0.4000000000000001	0.0
4.01	0.0	0.40007709637592775	7.706665667179814e-05
4.02	0.0	0.4003082666266873	0.0003077914851215447
4.03	0.0	0.40069315430450747	0.0006907519900580972
4.04	0.0	0.4012311659404863	0.0012235870926211618
4.05	0.0	0.40192147195967703	0.0019030116872178178
4.06	0.0	0.4027630079602324	0.0027248368952907695
4.07	0.0	0.4037544763546354	0.0036839958911477236
4.08	0.0	0.4048943483704847	0.004774575140626323
